Time Scale,FM01TS,FM02TS,FM03TS,FM04TS,FM05TS,PC01TS,PC02TS,PC03TS,PT01TS,PT02TS,PT03TS,PT04TS,PT05TS,PT06TS,ST01TS,TC01TS,TC02TS,TC03TS,TT01TS
08-29-2009 : 12:26:07.181 PM,24.515608,22.687187,54.859619,305.984558,16.947388,6.895882,5.891330,4.928542,1568.206055,1414.588867,-28.000000,1237.703857,500.262878,1690.478271,-218.436737,76.529266,75.300064,74.865585,0.000000
08-29-2009 : 12:26:07.185 PM,24.609873,22.878222,54.621429,306.602356,17.031734,6.663219,5.965393,4.783276,1492.368896,1427.598877,-28.000000,1450.167114,2534.975586,2145.278320,-220.719009,76.555061,75.524071,74.872368,0.000000
08-29-2009 : 12:26:07.189 PM,24.897522,22.568684,54.427128,301.180542,17.050978,6.896775,6.114647,4.826163,1598.735718,1384.349609,-28.000000,2816.816650,1456.441284,3492.971191,-219.152283,76.521103,75.488365,74.809860,0.000000
08-29-2009 : 12:26:07.193 PM,24.220051,22.677898,53.660721,301.149841,16.764818,7.003601,5.899487,4.815266,1621.904785,1404.219238,-28.000000,2562.081299,512.626099,4219.058594,-218.799988,76.569687,75.420433,74.900581,0.000000
08-29-2009 : 12:26:07.197 PM,24.596598,22.689529,54.090015,297.806366,16.941566,6.821306,5.839525,4.785833,1501.013184,1402.670410,-28.000000,192.489456,2212.461670,444.358337,-218.984482,76.556992,75.499649,74.883881,0.000000
08-29-2009 : 12:26:07.201 PM,24.342819,22.468182,53.604557,300.629456,16.982374,6.919114,5.917655,5.058933,1535.177490,1378.640381,-28.000000,1153.774536,3300.226562,1279.134644,-217.041306,76.429558,75.433403,74.766533,0.000000
08-29-2009 : 12:26:07.205 PM,24.405483,22.082586,53.796772,299.375793,17.012894,6.779722,5.786313,4.882592,1530.705078,1375.651855,-28.000000,4169.876953,557.151428,1531.617798,-217.801941,76.566231,75.478546,74.904610,0.000000
08-29-2009 : 12:26:07.209 PM,23.992931,22.403278,54.147324,296.713501,16.416685,6.733307,5.568609,4.956518,1542.521118,1415.708496,-28.000000,472.922913,586.183289,880.565491,-219.323624,76.458389,75.370537,74.780067,0.000000
08-29-2009 : 12:26:07.213 PM,24.262577,22.343838,53.764687,299.053986,16.631573,6.741470,5.628914,4.841031,1507.121582,1349.051270,-28.000000,2003.515991,3118.017578,1334.735718,-223.598938,76.570480,75.467651,74.825699,0.000000
08-29-2009 : 12:26:07.217 PM,24.184103,22.164558,53.431488,299.091736,16.384848,6.581452,5.649519,4.853294,1495.456909,1344.119507,-28.000000,1421.202515,2216.745850,1722.419678,-222.710205,76.500854,75.583237,74.969452,0.000000
08-29-2009 : 12:26:07.221 PM,24.245722,21.922682,52.972481,295.379059,16.419136,6.386337,5.898628,4.805097,1565.523682,1360.578369,-28.000000,1054.469727,1647.771973,1971.058960,-221.399124,76.414513,75.345497,74.743217,0.000000
08-29-2009 : 12:26:07.225 PM,24.333185,22.283293,52.769051,298.037628,16.465145,6.542476,5.605274,4.610534,1486.830933,1362.477783,-28.000000,519.303528,2957.656250,496.956787,-220.489441,76.398552,75.457970,74.850548,0.000000
08-29-2009 : 12:26:07.229 PM,23.892889,21.975986,53.365192,297.025513,16.274506,6.451199,5.639740,4.776045,1497.570679,1361.401978,-28.000000,1551.918457,738.408936,4574.973633,-225.936813,76.546921,75.408333,74.963776,0.000000
08-29-2009 : 12:26:07.233 PM,24.231541,21.786425,53.571911,293.377625,16.256250,6.621344,5.618469,4.696953,1546.644531,1317.499878,-28.000000,1354.159668,98.829445,4016.781006,-220.736115,76.511398,75.377090,74.946037,0.000000
08-29-2009 : 12:26:07.237 PM,24.225758,21.862404,52.744385,293.110016,16.379854,6.577166,5.538694,4.693674,1482.293335,1325.959351,-28.000000,2307.658936,7.385046,4348.262695,-221.528458,76.519966,75.487228,74.912842,0.000000
08-29-2009 : 12:26:07.241 PM,23.630167,21.878077,53.415390,291.408295,16.250244,6.517561,5.668046,4.578580,1485.540405,1378.046875,-28.000000,518.973450,-1.955913,4593.614746,-220.295166,76.457687,75.435226,74.830643,0.000000
08-29-2009 : 12:26:07.245 PM,23.715815,21.863003,52.813057,292.791046,16.281424,6.710976,5.520664,4.693339,1513.551514,1374.392944,-28.000000,1367.176758,2489.233643,1472.619141,-219.814651,76.509766,75.398544,74.944092,0.000000
08-29-2009 : 12:26:07.249 PM,23.430851,21.571058,52.367550,289.310059,15.664029,6.239587,5.563413,4.649905,1460.434204,1289.984131,-28.000000,2723.072998,3203.505127,2309.222168,-223.011673,76.505325,75.390999,74.802521,0.000000
08-29-2009 : 12:26:07.253 PM,23.703482,21.900192,52.386032,292.594360,15.791233,6.583937,5.629156,4.452916,1396.731079,1309.919189,-28.000000,2615.838867,1230.079712,801.616699,-225.519867,76.525223,75.398064,74.849937,0.000000
08-29-2009 : 12:26:07.257 PM,23.296097,21.976929,52.713303,291.144806,16.056557,6.434920,5.382973,4.557195,1428.770264,1283.681885,-28.000000,1714.537720,426.860260,1427.918091,-224.235443,76.610176,75.489555,74.937172,0.000000
08-29-2009 : 12:26:07.261 PM,23.333693,21.489141,52.530167,288.515533,15.888966,6.273075,5.431258,4.417810,1461.272095,1240.547485,-28.000000,1040.322266,429.862335,492.205963,-220.644547,76.496887,75.346352,74.772179,0.000000
08-29-2009 : 12:26:07.265 PM,23.453636,21.586014,51.748367,291.316101,16.139137,6.341964,5.509940,4.549295,1397.113403,1299.127808,-28.000000,3140.624512,3724.675293,2511.156494,-227.982849,76.568832,75.371773,74.895210,0.000000
08-29-2009 : 12:26:07.269 PM,23.723989,21.573965,51.764442,283.706909,15.974214,6.194170,5.295941,4.458508,1435.364136,1322.260254,-28.000000,1311.049805,2089.902100,2809.839355,-221.839340,76.502014,75.334389,74.911522,0.000000
08-29-2009 : 12:26:07.273 PM,23.529087,21.437235,52.502853,284.540558,15.440579,6.118535,5.211658,4.337106,1454.545166,1257.207642,-28.000000,693.458679,1490.324463,1627.080200,-221.782822,76.597969,75.331512,74.939072,0.000000
08-29-2009 : 12:26:07.277 PM,23.433275,21.311829,51.603397,287.044525,15.484820,6.204189,5.285754,4.258714,1402.036011,1308.075439,-28.000000,4665.187988,4124.098145,368.031982,-220.226074,76.626465,75.621719,74.866943,0.000000
08-29-2009 : 12:26:07.281 PM,23.386074,21.551456,51.323963,286.352325,15.596566,6.244436,5.118640,4.395578,1347.781128,1321.107056,-28.000000,1686.516602,1129.430664,3654.290771,-228.293030,76.697197,75.494484,75.019501,0.000000
08-29-2009 : 12:26:07.285 PM,23.274246,21.558737,51.103924,284.692627,15.838551,6.130976,5.344290,4.397873,1394.429687,1179.969360,-28.000000,2108.552490,2512.883789,2252.245605,-228.911270,76.498932,75.385139,74.862167,0.000000
08-29-2009 : 12:26:07.289 PM,23.277262,21.615732,50.923576,283.472321,15.554338,6.218160,4.952116,4.111494,1383.130615,1234.579468,-28.000000,227.967697,294.588196,3071.540039,-226.305191,76.608925,75.517540,74.963272,0.000000
08-29-2009 : 12:26:07.293 PM,23.021791,21.492331,51.142960,283.719940,15.440828,6.245454,5.182703,4.163615,1409.387573,1172.543091,-28.000000,96.191360,2662.381348,1479.797607,-227.962387,76.595680,75.430077,74.891258,0.000000
08-29-2009 : 12:26:07.297 PM,23.164600,21.503796,51.445709,279.901733,15.455024,5.978201,5.181715,4.318931,1362.360718,1219.784180,-28.000000,3068.833740,562.320374,2820.729492,-228.598953,76.579880,75.313225,74.709465,0.000000
08-29-2009 : 12:26:07.301 PM,22.789175,21.386677,50.579693,282.042908,15.547265,5.936453,4.932133,4.274646,1393.010254,1267.608521,-28.000000,2437.154541,1468.784424,1378.462280,-225.601990,76.495071,75.444893,74.887489,0.000000
08-29-2009 : 12:26:07.305 PM,23.072094,21.233530,51.035233,284.917938,15.463551,6.124632,5.038323,4.236593,1350.706055,1232.661865,-28.000000,306.983978,1133.600586,835.425110,-227.442444,76.465378,75.424698,74.877464,0.000000
08-29-2009 : 12:26:07.309 PM,22.563805,21.186884,50.408691,280.623749,15.586127,6.015130,5.202998,4.092424,1408.345459,1258.180420,-28.000000,1933.211548,714.553467,728.834351,-226.121658,76.493507,75.440689,74.892731,0.000000
08-29-2009 : 12:26:07.313 PM,22.676218,20.999533,50.310089,279.022278,15.645492,6.071330,5.045558,4.246267,1307.361938,1224.406006,-28.000000,2122.728516,2608.017334,979.403015,-227.315308,76.482834,75.278687,74.733925,0.000000
08-29-2009 : 12:26:07.317 PM,22.572706,21.344439,51.176640,278.217438,15.086961,5.954774,5.115868,4.099209,1284.471191,1150.849976,-28.000000,1605.289062,627.831177,111.754311,-227.719437,76.404343,75.360931,74.863487,0.000000
08-29-2009 : 12:26:07.321 PM,22.891619,21.160385,49.829163,275.456299,15.473857,5.976419,5.065830,4.043386,1332.820435,1151.241577,-28.000000,193.620728,2005.669312,1472.595337,-225.270462,76.450279,75.425690,74.829407,0.000000
08-29-2009 : 12:26:07.325 PM,22.807535,21.177210,50.813717,274.984100,15.345199,5.756179,4.985940,4.075845,1344.238892,1128.460693,-28.000000,-24.544804,3923.485352,1599.791748,-228.690094,76.524834,75.450516,74.858025,0.000000
08-29-2009 : 12:26:07.329 PM,22.630249,21.026928,49.918335,276.911743,14.868073,6.006438,4.819096,4.155397,1337.833252,1140.387939,-28.000000,3533.377197,1822.252075,2448.475098,-231.657043,76.412621,75.296585,74.754745,0.000000
